Tag(English),Tag(Japanese)
general,一般
sensitive,センシティブ
questionable,不適切
explicit,露骨
1girl,1人の女の子
solo,単体
long_hair,長い髪
breasts,胸
looking_at_viewer,鑑賞者を見ている
blush,赤面
smile,微笑み
open_mouth,口を開けて
short_hair,短い髪
blue_eyes,青い目
simple_background,シンプルな背景
shirt,シャツ
large_breasts,巨乳
skirt,スカート
blonde_hair,金髪
multiple_girls,複数の女の子
brown_hair,茶髪
black_hair,黒髪
long_sleeves,長袖
hair_ornament,髪飾り
white_background,白背景
1boy,1人の男の子
gloves,手袋
red_eyes,赤い目
dress,ドレス
thighhighs,太ももソックス
hat,帽子
holding,持っている
bow,リボン
navel,へそ
animal_ears,獣耳
ribbon,リボン
hair_between_eyes,前髪が目にかかっている
closed_mouth,口を閉じて
2girls,2人の女の子
cleavage,谷間
jewelry,ジュエリー
bare_shoulders,はだけた肩
very_long_hair,超ロングヘア
sitting,座っている
twintails,ツインテール
medium_breasts,中くらいの胸
brown_eyes,茶色い目
standing,立っている
nipples,乳首
green_eyes,緑の目
underwear,下着
blue_hair,青髪
jacket,ジャケット
school_uniform,制服
purple_eyes,紫の目
collarbone,鎖骨
tail,尻尾
white_shirt,白シャツ
full_body,全身
upper_body,上半身
panties,パンティ
closed_eyes,目を閉じて
yellow_eyes,黄色い目
swimsuit,水着
white_hair,白髪
pink_hair,ピンク髪
monochrome,モノクロ
grey_hair,灰色の髪
ahoge,アホ毛
braid,編み込み
hair_ribbon,ヘアリボン
purple_hair,紫髪
male_focus,男性メイン
ponytail,ポニーテール
ass,お尻
flower,花
weapon,武器
multicolored_hair,カラフルな髪
short_sleeves,半袖
sidelocks,サイドテール
comic,漫画風
hetero,異性愛
heart,ハート
thighs,太もも
:d,笑顔（口を開けて）
hair_bow,ヘアボウ
pantyhose,パンティストッキング
outdoors,屋外
cowboy_shot,腰から上ショット
earrings,イヤリング
greyscale,グレースケール
bikini,ビキニ
sweat,汗
red_hair,赤髪
nude,ヌード
pleated_skirt,プリーツスカート
small_breasts,貧乳
frills,フリル
hairband,ヘアバンド
parted_lips,唇を開けて
censored,修正済み
boots,ブーツ
open_clothes,服を開けて
lying,横たわっている
horns,角
teeth,歯
multiple_boys,複数の男の子
wings,翼
food,食べ物
necktie,ネクタイ
one_eye_closed,片目を閉じて
detached_sleeves,切れ袖
sky,空
penis,陰茎
shorts,ショーツ
green_hair,緑髪
japanese_clothes,和装
shoes,靴
sleeveless,ノースリーブ
black_gloves,黒手袋
alternate_costume,別衣装
collared_shirt,カラーシャツ
choker,チョーカー
barefoot,裸足
pussy,女性器
socks,靴下
glasses,眼鏡
tongue,舌
pointy_ears,とがった耳
solo_focus,単体メイン
pants,パンツ
day,昼間
virtual_youtuber,バーチャルYouTuber
serafuku,セーラー服
indoors,屋内
puffy_sleeves,パフスリーブ
artist_name,作者名
hairclip,ヘアクリップ
medium_hair,ミディアムヘア
belt,ベルト
fang,牙
black_thighhighs,黒太ももソックス
