Tag(English),Tag(Japanese)
!,！
!!,！！
!?,！？
(9),（9）
+++,+++
+_+,+_+
...,…
._.,._.
0_0,0_0
1970s_(style),1970年代風
1980s_(style),1980年代風
1990s_(style),1990年代風
1boy,1人の少年
1girl,1人の少女
1koma,1コマ漫画
1other,1人のその他
2006,2006年
2009,2009年
2010,2010年
2011,2011年
2012,2012年
2016,2016年
2018,2018年
2021,2021年
2boys,2人の少年
2girls,2人の少女
2koma,2コマ漫画
3:,3:
3boys,3人の少年
3d,3D
3girls,3人の少女
4boys,4人の少年
4girls,4人の少女
4koma,4コマ漫画
5boys,5人の少年
5girls,5人の少女
6+boys,6人以上の少年
6+girls,6人以上の少女
69,69
:3,:3
:<,:<
:>,:>
:>=,:>=
:d,:d
:i,:i
:o,:o
:p,:p
:q,:q
:t,:t
:x,:x
;(,;(
;),;)
;3,;3
;d,;d
;o,;o
;p,;p
;q,;q
=3,=3
=_=,=_=
>:(,>:(
>:),>:)
>_<,>_<
>_o,>_o
>o<,>o<
?,？
??,？？
@_@,@_@
\m/,\m/
\o/,\o/
\||/,\||/
^^^,^^^
^_^,^_^
^o^,^o^
abe_nana,阿部ナナ
above_clouds,雲の上
abs,腹筋
absolutely_everyone,全員登場
absurdly_long_hair,異常に長い髪
abukuma_(kancolle),阿武隈（艦隊これくしょん）
abuse,虐待
abyssal_ship,深海棲艦
accelerator_(toaru_majutsu_no_index),一方通行（とある魔術の禁書目録）
accidental_exposure,偶然の露出
acorn,どんぐり
acoustic_guitar,アコースティックギター
acrylic_paint_(medium),アクリル絵の具
action,アクション
adapted_turret,改造砲塔
adjusting_clothes,衣装を整える
adjusting_eyewear,眼鏡を調整する
adjusting_gloves,手袋を調整する
adjusting_hair,髪を整える
adjusting_headwear,ヘッドウェアを調整する
adjusting_swimsuit,水着を調整する
admiral_(kancolle),提督（艦隊これくしょん）
aerial_fireworks,打ち上げ花火
afloat,浮かんでいる
african_wild_dog_(kemono_friends),アフリカン・ワイルド・ドッグ（けものフレンズ）
afro,アフロヘア
after_anal,アナル後
after_ejaculation,射精後
after_fellatio,フェラ後
after_kiss,キス後
after_paizuri,パイズリ後
after_rape,レイプ後
after_sex,セックス後
after_vaginal,膣内射精後
afterglow,余韻
afterimage,残像
afterword,後書き
against_glass,ガラスに押し付け
against_tree,木に寄りかかる
against_wall,壁に押し付け
age_difference,年齢差
ahegao,アヘ顔
ahoge,アホ毛
ai_ai_gasa,相合傘
aiguillette,アギレット
aiming,狙いをつける
aiming_at_viewer,視聴者を狙う
aino_megumi,愛野めぐみ
air_bubble,気泡
air_conditioner,エアコン
aircraft,航空機
airplane,飛行機
aisaka_taiga,逢坂大河
ak-47,AK-47
akagi_(azur_lane),赤城（アズールレーン）
akagi_(kancolle),赤城（艦隊これくしょん）
akai_haato,赤井はあと
akamatsu_kaede,赤松楓
akanbe,あかんべえ
akashi_(azur_lane),明石（アズールレーン）
akashi_(kancolle),明石（艦隊これくしょん）
akatsuki_(kancolle),暁（艦隊これくしょん）
akatsuki_kirika,暁切歌
akaza_akari,赤座あかり
akebono_(kancolle),曙（艦隊これくしょん）
akemi_homura,暁美ほむら
akeome,明けましておめでとう
