Tag(English),Tag(Japanese),Count
1girl,1人の女の子,1161601
long_hair,長い髪,897903
blush,赤面,846012
breasts,胸,776867
solo,単体,716641
open_mouth,口を開けて,553923
1boy,1人の男の子,527567
sensitive,センシティブ,465501
explicit,露骨,464528
nipples,乳首,456175
hetero,異性愛,446132
censored,修正済み,431152
mosaic_censoring,モザイク修正,422279
large_breasts,巨乳,421535
looking_at_viewer,鑑賞者を見ている,361015
closed_eyes,目を閉じて,340476
hair_ornament,髪飾り,329330
penis,陰茎,326676
smile,微笑み,318683
skirt,スカート,309847
ribbon,リボン,295476
solo_focus,単体メイン,290576
brown_hair,茶髪,280853
black_background,黒背景,268318
blue_eyes,青い目,262527
full_body,全身,261953
black_hair,黒髪,256231
simple_background,シンプルな背景,247987
general,一般,242748
blonde_hair,金髪,241242
navel,へそ,233387
underwear,下着,229523
standing,立っている,227869
hair_ribbon,ヘアリボン,224161
shirt,シャツ,223273
pussy,女性器,214996
nude,ヌード,208907
short_hair,短い髪,208081
thighhighs,太ももソックス,203383
school_uniform,制服,201688
sex,性行為,200988
bow,リボン,196142
collarbone,鎖骨,196040
panties,パンティ,184915
medium_breasts,中くらいの胸,180622
vaginal,膣,178972
purple_eyes,紫の目,171637
cum,精液,170420
dutch_angle,オランダー角,170039
questionable,不適切,164132
twintails,ツインテール,163468
long_sleeves,長袖,158609
very_long_hair,超ロングヘア,156242
lying,横たわっている,154523
red_eyes,赤い目,149503
pink_hair,ピンク髪,145429
barefoot,裸足,134767
spread_legs,脚を広げて,129525
indoors,屋内,126719
hair_between_eyes,前髪が目にかかっている,121770
dress,ドレス,115595
open_clothes,服を開けて,114741
white_hair,白髪,110018
cleavage,谷間,109866
hairclip,ヘアクリップ,109713
white_shirt,白シャツ,109411
ass,お尻,108641
braid,編み込み,107582
closed_mouth,口を閉じて,106923
brown_eyes,茶色い目,106110
on_back,仰向け,104781
bra,ブラジャー,104501
green_eyes,緑の目,101872
blue_hair,青髪,99058
pussy_juice,愛液,98226
small_breasts,貧乳,97337
outdoors,屋外,92426
completely_nude,完全裸,90056
purple_hair,紫髪,87024
sweat,汗,84565
shoes,靴,84180
cum_in_pussy,膣内射精,82075
jacket,ジャケット,81060
multiple_girls,複数の女の子,80502
ahoge,アホ毛,79744
ponytail,ポニーテール,79700
clothes_lift,服を持ち上げて,79506
pleated_skirt,プリーツスカート,77079
hair_bow,ヘアボウ,75742
jewelry,ジュエリー,75302
red_hair,赤髪,74439
flower,花,74257
yellow_eyes,黄色い目,73303
sitting,座っている,69320
pantyhose,パンティストッキング,69113
frills,フリル,68144
hairband,ヘアバンド,68109
grabbing,掴んで,66544
plaid,チェック,66194
short_sleeves,半袖,66110
socks,靴下,65180
grabbing_another's_breast,他人の胸を掴んで,64333
girl_on_top,女上位,63838
swimsuit,水着,63820
oral,オーラル,63191
hair_flower,髪飾りの花,60406
japanese_clothes,和装,59645
necktie,ネクタイ,58429
open_shirt,シャツを開けて,58208
2girls,2人の女の子,57937
gloves,手袋,57551
pillow,枕,57500
upper_body,上半身,54544
bed,ベッド,54330
pants,パンツ,53499
cum_on_body,体上の精液,53267
hand_on_own_hip,自分の腰に手,53215
sky,空,52483
fellatio,フェラチオ,52282
:d,笑顔（口を開けて）,50732
plaid_skirt,チェックスカート,49539
straddling,またがって,49450
sex_from_behind,後背位,48735
miniskirt,ミニスカート,48555
day,昼間,47359
hat,帽子,46898
bed_sheet,シーツ,46535
boots,ブーツ,46503
zettai_ryouiki,絶対領域,46397
no_humans,人間なし,46070
black_thighhighs,黒太ももソックス,45454
two_side_up,ツーサイドアップ,45249
striped_clothes,ストライプ服,44656
white_panties,白パンティ,44413
facial,フェイシャル,43698
pink_panties,ピンクパンティ,43690
bikini,ビキニ,43343
grey_hair,灰色の髪,42947
necklace,ネックレス,42716
facing_viewer,鑑賞者に向いて,42462
anus,肛門,42377
animal_ears,獣耳,42292
clothing_aside,服をどけて,41801
white_thighhighs,白太ももソックス,41553
holding,持っている,40991
tongue,舌,39419
own_hands_together,自分の手を合わせて,39039
kimono,着物,38758
collared_shirt,カラーシャツ,38577
cum_on_hair,髪の精液,38387
apron,エプロン,38189
hair_intakes,吸い込み髪,38116
bare_shoulders,はだけた肩,37879
:o,驚き顔,37592
clothes_pull,服を引っ張って,37220
shorts,ショーツ,37033
one_eye_closed,片目を閉じて,36994
panties_around_one_leg,片足に引っかけたパンティ,36275
arms_behind_back,腕を後ろに,36244
skirt_lift,スカートを持ち上げて,35983
night,夜,35845
bra_lift,ブラジャー持ち上げ,35557
pov,主観視点,35258
fingering,フィンガリング,34395
handjob,ハンドジョブ,33900
cum_on_breasts,胸上の精液,33727
black_footwear,黒靴,33725
male_focus,男性メイン,33342
belt,ベルト,33020
bowtie,ボウタイ,32889
doggystyle,バックスタイル,32867
glasses,眼鏡,32623
hood,フード,32450
looking_back,振り返っている,32266
shirt_lift,シャツを持ち上げて,31927
side_ponytail,サイドポニーテール,31424
flat_chest,ほぼ平らな胸,31375
maid,メイド,31344
loli,ロリ,31031
no_pussy,陰部無し,30737
cloud,雲,30696
transparent_background,透明背景,30523
bent_over,前屈み,30261
scenery,風景,30223
defloration,初交,30174
panties_aside,パンティをよけて,30139
blood,血,30103
tears,涙,29829
cowgirl_position,カウガールポジション,29493
window,窓,29074
scrunchie,スクランチ,29067
choker,チョーカー,28697
pink_bra,ピンクのブラ,28547
tree,木,28468
ass_grab,尻を掴んで,28456
breasts_out,胸露出,27890
brown_footwear,茶色靴,27878
paizuri,パイズリ,27839
tongue_out,舌を出して,27477
grabbing_from_behind,後ろから掴んで,27176
^_^,幸せ顔,27030
on_side,横向き,26973
missionary,正常位,26913
maid_headdress,メイド頭飾り,26742
underwear_only,下着のみ,26707
orange_hair,オレンジ髪,26663
blue_skirt,青スカート,26605
bottomless,ノーパンツ,26537
sidelocks,サイドテール,26530
on_bed,ベッドの上,26340
wet,濡れ,26221
loafers,ローファー,25960
weapon,武器,25605
crossed_arms,腕組み,25533
detached_sleeves,切れ袖,25363
kneehighs,ニーハイソックス,25232
sandals,サンダル,25113
black_pantyhose,黒パンティストッキング,24481
black_skirt,黒スカート,24407
serafuku,セーラー服,24341
green_hair,緑髪,24027
pajamas,パジャマ,23773
faceless,顔なし,23634
elbow_gloves,エルボーグローブ,23497
sleeveless,ノースリーブ,23480
panty_pull,パンティを引っ張って,23278
red_bow,赤リボン,22976
group_sex,集団性交,22760
bow_panties,ボウパンティ,22750
hand_on_own_chest,自分の胸に手,22571
holding_hands,手をつないで,22339
mixed-sex_bathing,混浴,22217
dress_shirt,ドレスシャツ,21918
shared_bathing,共浴,21879
torn_clothes,破れた服,21771
bow_bra,弓形のブラ,21400
tail,尻尾,21279
puffy_sleeves,パフスリーブ,21117
floating_hair,浮いた髪,21033
chibi,ちびキャラ,20764
black_ribbon,黒リボン,20686
straight_hair,ストレートヘア,20544
faceless_male,顔のない男性,20514
table,テーブル,20496
one_side_up,ワンサイドアップ,20496
open_jacket,ジャケットを開けて,20455
hug,抱擁,20374
garter_straps,ガーターベルト,20291
interlocked_fingers,指を組んで,20168
bra_pull,ブラジャー引き,19973
multicolored_hair,カラフルな髪,19966
cat_ears,猫耳,19956
one-piece_swimsuit,ワンピース水着,19608
saliva,唾液,19553
lingerie,ランジェリー,19543
black_panties,黒パンティ,19378
hair_scrunchie,ヘアスクランチ,19315
water,水,19271
off_shoulder,オフショルダー,19130
sailor_collar,セーラーカラー,19071
sweater,セーター,18921
polka_dot,水玉模様,18859
white_dress,白ドレス,18848
white_socks,白ソックス,18822
no_panties,ノーパン,18796
glitch,グリッチ,18739
after_sex,性交後,18297
ffm_threesome,FFM3P,17960
hair_bun,お団子ヘア,17902
food,食べ物,17829
heart,ハート,17677
threesome,3P,17501
bound,縛られて,17472
feet,足,17397
blazer,ブレザー,17199
looking_at_another,他人を見て,17038
sword,剣,16974
red_ribbon,赤リボン,16597
spread_pussy,股間を広げて,16442
pink_eyes,ピンクの目,16423
breast_press,胸を押して,16319
bdsm,BDSM,16311
earrings,イヤリング,16293
chair,椅子,16262
masturbation,自慰,16147
aqua_eyes,アクア色の目,16102
topless,トップレス,16060
arm_behind_back,腕を後ろに,16021
imminent_penetration,挿入直前,15976
clothed_sex,服を着た性交,15941
female_masturbation,女性の自慰,15707
white_bra,白ブラ,15577
blue_panties,青いパンティ,15537
floral_print,花柄,15531
licking,舐めて,15363
book,本,15338
black_gloves,黒手袋,15337
short_shorts,ショートショーツ,15295
neck_ribbon,首リボン,15143
twin_braids,ツインブレード,15075
high_heels,ハイヒール,15069
black_pants,黒パンツ,14897
sneakers,スニーカー,14797
hand_up,手を上げて,14696
bondage,緊縛,14670
teeth,歯,14446
siblings,兄弟姉妹,14126
midriff,へそ出し,14109
wide_sleeves,広袖,14047
black_socks,黒ソックス,14042
hoodie,フーディー,13988
wooden_floor,木の床,13973
white_gloves,白手袋,13936
white_skirt,白スカート,13830
parted_lips,唇を開けて,13828
sash,飾り帯,13798
black_bow,黒リボン,13785
69,69,13746
armpits,脇の下,13670
mary_janes,メアリージェーン,13617
nose_blush,鼻の赤み,13578
fang,牙,13548
cunnilingus,クンニリングス,13507
x_hair_ornament,X字髪飾り,13494
frilled_skirt,フリルスカート,13421
armor,鎧,13393
blue_sky,青空,13293
curtains,カーテン,13262
all_fours,四つん這い,13222
miko,巫女,13104
nipple_stimulation,乳首刺激,13011
cowboy_shot,腰から上ショット,12948
sunset,夕焼け,12915
star_(symbol),星（記号）,12897
sweatdrop,汗滴,12832
cameltoe,キャメルトゥ,12732
huge_breasts,爆乳,12683
pixelated,ピクセル化された,12601
low_twintails,ロータイツインテール,12581
bathroom,浴室,12578
red_skirt,赤スカート,12533
cardigan,カーディガン,12499
night_sky,夜空,12487
thigh_gap,太もも間の隙間,12453
wavy_mouth,波打つ口,12448
coat,コート,12296
wrist_cuffs,手首カフス,12270
gym_uniform,体操服,12266
covered_nipples,乳首隠し,12260
black_shirt,黒シャツ,12244
fingerless_gloves,フィンガーレスグローブ,12234
vest,ベスト,12227
school_swimsuit,スクール水着,12161
mole,ほくろ,12053
wings,翼,11974
clothed_male_nude_female,服男裸女,11973
scarf,スカーフ,11967
black_jacket,黒ジャケット,11948
bare_legs,素足,11935
desk,机,11918
hands_on_own_hips,自分の腰に手を当てて,11893
cape,ケープ,11886
striped_thighhighs,ストライプ太ももソックス,11825
grass,草,11811
hair_bobbles,ヘアボボ,11689
pointy_ears,とがった耳,11682
white_ribbon,白リボン,11640
ass_visible_through_thighs,太もも間からお尻見え,11604
cum_in_mouth,口中射精,11582
blurry,ぼやけ,11497
penis_out,ペニス露出,11464
drill_hair,ドリルヘア,11408
cum_on_clothes,服の精液,11406
building,建物,11389
uncensored,無修正,11213
wing_collar,ウィングカラー,11192
bracelet,ブレスレット,11175
frilled_bikini,フリルビキニ,11172
leg_lift,足を上げて,11150
grey_skirt,灰色スカート,11130
arms_up,両手を上げて,11054
couple,カップル,11050
puffy_short_sleeves,パフショートスリーブ,11032
multiple_boys,複数の男の子,10969
clenched_teeth,歯を食いしばって,10915
star_(sky),星（空）,10909
between_breasts,胸の谷間,10894
striped_panties,ストライプパンティ,10893
tatami,畳,10844
hair_over_one_eye,片目が髪で隠れている,10833
3girls,3人の女の子,10817
yukata,浴衣,10766
obi,帯,10766
black_bra,黒ブラ,10728
neckerchief,ネッカチーフ,10691
red_necktie,赤ネクタイ,10662
blue_bra,青いブラ,10662
kneeling,跪いて,10599
black_dress,黒ドレス,10527
close-up,クローズアップ,10475
top-down_bottom-up,トップダウンボトムアップ,10451
blunt_bangs,まっすぐ前髪,10436
collar,襟,10425
bookshelf,本棚,10406
cum_overflow,精液あふれ,10398
from_below,下から,10335
star_hair_ornament,星形髪飾り,10257
imminent_vaginal,間近の膣,10192
from_behind,後ろから,10133
white_footwear,白靴,10062
sunlight,日光,10061
blue_ribbon,青リボン,10029
monochrome,モノクロ,10003
denim,デニム,9989
nipple_tweak,乳首をひねって,9967
ejaculation,射精,9902
plant,植物,9896
red_bowtie,赤ボウタイ,9896
testicles,睾丸,9866
from_above,上から,9811
pubic_hair,陰毛,9796
>_<,照れ顔,9791
holding_weapon,武器を持って,9715
see-through,透け,9692
v_arms,V字に開いた腕,9659
hanging_breasts,垂れた胸,9567
hand_on_another's_head,他人の頭に手,9538
knee_boots,ニーブーツ,9537
white_bow,白リボン,9474
leaning_forward,前かがみ,9466
wet_clothes,濡れた服,9445
half-closed_eyes,半目,9434
sleeping,眠って,9399
happy_sex,楽しいセックス,9376
v-shaped_eyebrows,V字眉,9362
folded,折り畳み,9353
strap_slip,ストラップ落ち,9352
sleeves_past_wrists,袖が手首を超える,9308
torn_pantyhose,破れたパンティストッキング,9220
kiss,キス,9210
sex_toy,性具,9189
dress_lift,ドレスを持ち上げて,9181
bag,バッグ,9137
frown,しかめ面,9126
grabbing_own_breast,自分の胸を掴んで,9035
wince,しかめ面,9021
heart_hair_ornament,ハート形髪飾り,8988
single_braid,一本編み,8966
green_panties,緑のパンティ,8909
pencil_skirt,ペンシルスカート,8858
starry_sky,星空,8833
hair_over_shoulder,肩にかかる髪,8788
cup,カップ,8774
blue_shirt,青シャツ,8772
wet_panties,濡れパンティ,8767
door,ドア,8737
buruma,ブルマ,8698
own_hands_clasped,自分の手を組んで,8686
side-tie_bikini_bottom,サイドタイビキニボトム,8679
front-tie_top,前タイトップ,8576
couch,ソファ,8572
clothed_female_nude_male,服を着た女性と裸の男性,8567
anal,アナル,8563
o_o,o_o,8541
clothing_cutout,服の切り抜き,8525
capelet,ショール,8525
blue_dress,青ドレス,8512
groping,モロさわり,8492
nature,自然,8464
blue_bow,青リボン,8453
rose,バラ,8444
classroom,教室,8394
standing_on_one_leg,片足立ち,8381
eyelashes,まつ毛,8344
straight-on,真正面,8313
half_updo,ハーフアップ,8306
licking_penis,ペニス舐め,8254
upright_straddle,騎乗位,8196
white_background,白背景,8174
cumdrip,精液滴り,8170
hakama,袴,8160
